Festo,DST
-232.0,-97.5
-232.0,-97.6
-232.0,-97.8
-232.0,-97.9
-232.0,-98.1
-231.9,-98.3
-231.9,-98.4
-231.9,-98.5
-231.9,-98.6
-232.0,-98.5
-232.1,-98.3
-232.1,-98.1
-232.2,-97.9
-232.3,-97.8
-232.3,-97.6
-232.3,-97.4
-232.3,-97.3
-232.2,-97.1
-232.2,-97.0
-232.2,-96.9
-232.2,-96.7
-232.3,-96.6
-232.3,-96.5
-232.3,-96.4
-232.3,-96.4
-232.3,-96.4
-232.4,-96.4
-232.4,-96.4
-232.5,-96.5
-232.6,-96.6
-232.6,-96.7
-232.6,-97.0
-232.6,-97.3
-232.6,-97.5
-232.7,-97.6
-232.7,-97.6
-232.7,-97.6
-232.6,-97.6
-232.5,-97.5
-232.4,-97.4
-232.3,-97.3
-232.2,-97.3
-232.1,-97.3
-232.0,-97.4
-231.9,-97.7
-231.9,-97.9
-232.1,-98.2
-232.3,-98.3
-232.4,-98.3
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.5
-232.6,-98.6
-232.5,-98.7
-232.6,-98.8
-232.6,-98.8
-232.6,-98.7
-232.6,-98.6
-232.6,-98.5
-232.6,-98.4
-232.6,-98.3
-232.6,-98.3
-232.6,-98.3
-232.6,-98.2
-232.7,-98.1
-232.8,-98.0
-232.9,-97.8
-232.9,-97.7
-232.8,-97.6
-232.8,-97.4
-232.7,-97.2
-232.7,-97.1
-232.6,-96.9
-232.5,-97.1
-232.4,-97.2
-232.3,-97.4
-232.3,-97.6
-232.3,-97.8
-232.4,-98.0
-232.4,-98.2
-232.4,-98.4
-232.5,-98.5
-232.4,-98.5
-232.5,-98.4
-232.5,-98.4
-232.4,-98.4
-232.4,-98.3
-232.5,-98.3
-232.6,-98.3
-232.8,-98.3
-232.9,-98.3
-232.8,-98.4
-232.8,-98.4
-232.8,-98.5
-232.7,-98.6
-232.8,-98.6
-232.8,-98.6
-232.9,-98.5
-232.9,-98.5
-232.9,-98.4
-232.9,-98.3
-232.9,-98.3
-232.9,-98.3
-232.8,-98.3
-232.7,-98.5
-232.6,-98.9
-232.4,-99.1
-232.4,-99.3
-232.4,-99.3
-232.4,-99.2
-232.4,-99.2
-232.4,-99.1
-232.4,-99.1
-232.4,-99.1
-232.5,-99.0
-232.6,-98.9
-232.7,-98.8
-232.8,-98.8
-232.7,-98.9
-232.8,-98.9
-232.6,-99.0
-232.6,-98.9
-232.7,-98.9
-232.7,-99.0
-232.6,-99.0
-232.6,-98.8
-232.5,-98.8
-232.4,-98.7
-232.4,-98.6
-232.3,-98.6
-232.2,-98.6
-232.3,-98.4
-232.2,-98.5
-232.2,-98.6
-232.3,-98.6
-232.4,-98.8
-232.5,-98.8
-232.6,-98.7
-232.6,-98.8
-232.6,-98.8
-232.6,-98.7
-232.5,-98.7
-232.4,-98.6
-232.3,-98.7
-232.2,-98.8
-232.2,-98.9
-232.2,-99.1
-232.2,-99.2
-232.2,-99.2
-232.2,-99.2
-232.3,-99.3
-232.3,-99.3
-232.3,-99.5
-232.3,-99.6
-232.3,-99.6
-232.3,-99.6
-232.3,-99.7
-232.3,-99.9
-232.3,-100.2
-232.3,-100.4
-232.3,-100.8
-232.3,-100.8
-232.3,-100.8
-232.1,-100.8
-231.9,-100.7
-231.8,-100.8
-231.6,-100.9
-231.6,-101.0
-231.7,-101.0
-231.7,-101.0
-231.8,-101.0
-231.9,-100.9
-231.9,-100.8
-231.9,-100.6
-231.9,-100.4
-231.8,-100.4
-231.8,-100.4
-231.8,-100.4
-231.7,-100.5
-231.7,-100.3
-231.7,-100.3
-231.7,-100.1
-231.7,-99.9
-231.6,-99.9
-231.6,-99.6
-231.6,-99.5
-231.6,-99.5
-231.5,-99.4
-231.5,-99.3
-231.4,-99.3
-231.4,-99.3
-231.4,-99.3
-231.3,-99.3
-231.3,-99.3
-231.4,-99.2
-231.6,-99.2
-231.7,-99.2
-231.9,-99.0
-232.0,-99.0
-232.0,-99.0
-232.0,-98.9
-232.0,-98.9
-232.0,-98.9
-231.9,-98.8
-231.7,-98.9
-231.5,-99.0
-231.2,-98.9
-231.0,-98.8
-230.9,-98.8
-230.9,-98.7
-230.9,-98.7
-231.0,-98.7
-231.2,-98.6
-231.4,-98.6
-231.5,-98.6
-231.5,-98.5
-231.6,-98.4
-231.6,-98.2
-231.6,-98.0
-231.5,-97.9
-231.5,-97.7
-231.3,-97.6
-231.2,-97.7
-231.0,-97.7
-230.9,-97.8
-230.8,-98.0
-230.8,-98.1
-230.8,-98.4
-230.9,-98.5
-231.0,-98.5
-231.2,-98.6
-231.2,-98.6
-231.3,-98.5
-231.3,-98.5
-231.3,-98.4
-231.2,-98.3
-231.1,-98.2
-230.8,-98.1
-230.6,-98.0
-230.5,-97.8
-230.4,-97.7
-230.5,-97.7
-230.6,-97.6
-230.7,-97.5
-230.9,-97.4
-231.0,-97.3
-231.0,-97.3
-230.9,-97.2
-230.9,-97.3
-230.8,-97.3
-230.7,-97.4
-230.7,-97.4
-230.8,-97.4
-230.8,-97.3
-230.8,-97.2
-230.9,-97.2
-230.8,-97.1
-230.9,-97.2
-230.9,-97.2
-230.9,-97.3
-230.8,-97.5
-230.8,-97.5
-230.8,-97.5
-230.8,-97.6
-230.8,-97.4
-230.9,-97.3
-230.9,-97.3
-230.9,-97.2
-230.9,-97.2
-230.8,-97.3
-230.6,-97.3
-230.5,-97.3
-230.4,-97.3
-230.4,-97.3
-230.3,-97.4
-230.3,-97.6
-230.3,-97.8
-230.3,-98.0
-230.3,-98.3
-230.5,-98.6
-230.5,-98.9
-230.7,-99.1
-230.9,-99.2
-230.9,-99.2
-230.8,-99.2
-230.8,-99.2
-230.8,-99.2
-230.8,-99.2
-230.8,-99.2
-230.7,-99.3
-230.6,-99.5
-230.6,-99.7
-230.5,-99.8
-230.6,-99.9
-230.6,-100.0
-230.6,-100.0
-230.6,-100.1
-230.6,-100.2
-230.6,-100.2
-230.7,-100.3
-230.7,-100.3
-230.7,-100.4
-230.8,-100.6
-230.8,-100.8
-230.8,-101.0
-230.8,-101.1
-230.9,-101.3
-231.0,-101.5
-231.1,-101.6
-231.1,-101.8
-231.1,-101.9
-231.1,-102.0
-230.9,-102.0
-230.8,-101.9
-230.7,-101.6
-230.6,-101.4
-230.6,-101.3
-230.6,-101.2
-230.6,-101.1
-230.6,-101.0
-230.6,-101.0
-230.6,-100.9
-230.6,-100.8
-230.5,-100.8
-230.6,-100.5
-230.5,-100.2
-230.6,-100.2
-230.6,-100.1
-230.6,-100.1
-230.7,-100.2
-230.7,-100.1
-230.6,-100.1
-230.6,-100.2
-230.6,-100.0
-230.5,-99.8
-230.5,-99.5
-230.5,-99.2
-230.5,-99.1
-230.6,-99.1
-230.7,-99.1
-230.7,-99.1
-230.8,-99.0
-230.8,-99.1
-230.7,-99.3
-230.6,-99.4
-230.6,-99.7
-230.5,-99.8
-230.5,-99.9
-230.5,-100.0
-230.6,-100.1
-230.7,-100.1
-230.7,-100.0
-230.7,-100.1
-230.7,-100.1
-230.6,-100.0
-230.4,-100.0
-230.4,-99.7
-230.3,-99.5
-230.4,-99.6
-230.5,-99.6
-230.5,-99.6
-230.6,-99.5
-230.7,-99.3
-230.9,-99.2
-231.1,-99.2
-231.1,-99.1
-231.1,-99.1
-231.1,-99.0
-231.0,-99.0
-231.0,-99.0
-230.9,-99.0
-230.8,-99.1
-230.8,-99.2
-230.7,-99.3
-230.6,-99.3
-230.5,-99.2
-230.4,-99.1
-230.3,-98.9
-230.4,-98.7
-230.4,-98.7
-230.4,-98.6
-230.4,-98.6
-230.3,-98.7
-230.4,-98.6
-230.4,-98.5
-230.4,-98.3
-230.4,-98.1
-230.4,-97.9
-230.4,-97.8
-230.5,-97.7
-230.6,-97.5
-230.6,-97.4
-230.6,-97.2
-230.8,-97.1
-230.8,-97.1
-230.9,-97.0
-230.9,-97.1
-230.8,-97.2
-230.9,-97.0
-230.8,-96.9
-230.8,-96.8
-230.9,-96.6
-230.8,-96.6
-230.6,-96.6
-230.6,-96.5
-230.4,-96.5
-230.4,-96.4
-230.6,-96.4
-230.7,-96.5
-230.8,-96.5
-230.8,-96.5
-230.6,-96.5
-230.4,-96.5
-230.2,-96.5
-230.0,-96.5
-229.9,-96.5
-229.9,-96.6
-230.0,-96.7
-230.0,-96.8
-230.0,-96.8
-230.1,-96.8
-230.1,-96.9
-230.2,-97.0
-230.3,-97.1
-230.3,-97.2
-230.4,-97.2
-230.4,-97.2
-230.4,-97.3
-230.4,-97.3
-230.5,-97.3
-230.5,-97.3
-230.5,-97.3
-230.5,-97.4
-230.5,-97.4
-230.5,-97.3
-230.5,-97.3
-230.5,-97.2
-230.4,-97.2
-230.4,-97.2
-230.3,-97.3
-230.3,-97.4
-230.3,-97.5
-230.2,-97.7
-230.3,-97.8
-230.3,-97.8
-230.4,-97.8
-230.4,-97.7
-230.4,-97.7
-230.5,-97.6
-230.6,-97.6
-230.6,-97.5
-230.6,-97.5
-230.6,-97.5
-230.6,-97.5
-230.5,-97.5
-230.5,-97.5
-230.4,-97.5
-230.4,-97.4
-230.4,-97.4
-230.3,-97.5
-230.3,-97.7
-230.3,-97.8
-230.3,-97.9
