Ohne Medium_RI0,3_FA0,1_NL100;12500 mPas_RI0,3_FA0,1_NL100_1bar;100000 mPas_RI0,3_FA0,1_NL100_3 bar
-129,67;557,2853802;-82,64373063
-132,15;560,4585628;-82,64373063
-133,80;558,8707428;-85,12315621
-134,63;554,1220112;-81,81699711
-135,45;560,4585628;-81,81699711
-137,93;565,2368068;-82,64373063
-139,59;563,6415909;-85,12315621
-136,28;560,4585628;-82,64373063
-137,11;565,2368068;-83,47033234
-134,63;562,0488442;-84,29680622
-132,15;558,8707428;-80,99012782
-130,50;563,6415909;-80,99012782
-132,98;562,0488442;-82,64373063
-134,63;563,6415909;-85,12315621
-131,32;558,8707428;-83,47033234
-132,98;563,6415909;-84,29680622
-134,63;562,0488442;-83,47033234
-135,45;563,6415909;-80,16311881
-134,63;562,0488442;-80,99012782
-135,45;565,2368068;-80,99012782
-136,28;565,2368068;-81,81699711
-133,80;560,4585628;-80,16311881
-134,63;562,0488442;-84,29680622
-135,45;557,2853802;-85,12315621
-135,45;557,2853802;-84,29680622
-132,15;557,2853802;-81,81699711
-134,63;560,4585628;-83,47033234
-135,45;558,8707428;-85,12315621
-133,80;554,1220112;-81,81699711
-133,80;555,7024709;-82,64373063
-134,63;554,1220112;-84,29680622
-137,11;555,7024709;-84,29680622
-133,80;552,5439969;-82,64373063
-133,80;558,8707428;-84,29680622
-132,15;558,8707428;-85,94938629
-131,32;558,8707428;-84,29680622
-129,67;558,8707428;-84,29680622
-130,50;558,8707428;-81,81699711
-132,98;562,0488442;-83,47033234
-130,50;558,8707428;-80,16311881
-132,98;562,0488442;-81,81699711
-132,98;557,2853802;-81,81699711
-133,80;557,2853802;-80,16311881
-133,80;560,4585628;-82,64373063
-133,80;558,8707428;-82,64373063
-136,28;555,7024709;-85,12315621
-133,80;552,5439969;-81,81699711
-135,45;554,1220112;-82,64373063
-135,45;554,1220112;-83,47033234
-137,11;554,1220112;-83,47033234
-134,63;555,7024709;-85,12315621
-134,63;558,8707428;-85,94938629
-134,63;555,7024709;-88,42739663
-132,15;550,9684241;-85,12315621
-132,98;554,1220112;-86,77550041
-132,98;554,1220112;-86,77550041
-134,63;558,8707428;-87,60150253
-131,32;557,2853802;-85,12315621
-132,15;563,6415909;-85,12315621
-132,15;566,8344959;-86,77550041
-131,32;563,6415909;-83,47033234
-129,67;566,8344959;-84,29680622
-130,50;565,2368068;-84,29680622
-133,80;563,6415909;-84,29680622
-132,15;557,2853802;-81,81699711
-132,15;563,6415909;-83,47033234
-132,15;560,4585628;-84,29680622
-132,15;558,8707428;-84,29680622
-131,32;560,4585628;-85,94938629
-132,15;563,6415909;-85,94938629
-134,63;563,6415909;-85,12315621
-131,32;558,8707428;-80,16311881
-133,80;566,8344959;-81,81699711
-133,80;565,2368068;-82,64373063
-134,63;565,2368068;-81,81699711
-132,15;563,6415909;-81,81699711
-132,98;562,0488442;-81,81699711
-134,63;558,8707428;-82,64373063
-132,98;557,2853802;-80,16311881
-134,63;562,0488442;-81,81699711
-137,11;558,8707428;-81,81699711
-137,93;557,2853802;-81,81699711
-132,98;555,7024709;-81,81699711
-132,98;557,2853802;-82,64373063
-132,98;557,2853802;-85,94938629
-132,15;555,7024709;-81,81699711
-132,15;560,4585628;-85,12315621
-133,80;560,4585628;-83,47033234
-137,11;562,0488442;-83,47033234
-132,98;557,2853802;-79,33596611
-132,98;562,0488442;-81,81699711
-132,15;558,8707428;-82,64373063
-132,98;560,4585628;-79,33596611
-132,15;565,2368068;-79,33596611
-132,15;565,2368068;-80,99012782
-132,98;566,8344959;-83,47033234
-130,50;563,6415909;-81,81699711
-132,15;565,2368068;-81,81699711
-132,98;560,4585628;-82,64373063
-136,28;560,4585628;-82,64373063
-134,63;558,8707428;-83,47033234
-136,28;558,8707428;-85,12315621
-137,11;557,2853802;-89,25318665
-134,63;554,1220112;-86,77550041
-134,63;558,8707428;-86,77550041
-136,28;554,1220112;-85,12315621
-136,28;555,7024709;-83,47033234
-133,80;558,8707428;-82,64373063
-134,63;560,4585628;-83,47033234
-134,63;555,7024709;-84,29680622
-132,98;550,9684241;-80,16311881
-132,98;555,7024709;-80,16311881
-132,15;557,2853802;-80,99012782
-132,98;555,7024709;-82,64373063
-130,50;554,1220112;-82,64373063
-132,15;557,2853802;-82,64373063
-132,15;554,1220112;-85,12315621
-132,98;557,2853802;-82,64373063
-132,15;562,0488442;-84,29680622
-132,98;565,2368068;-83,47033234
-135,45;562,0488442;-83,47033234
-133,80;555,7024709;-80,99012782
-132,98;563,6415909;-82,64373063
-132,15;563,6415909;-83,47033234
-133,80;562,0488442;-81,81699711
-130,50;560,4585628;-83,47033234
-130,50;563,6415909;-84,29680622
-132,98;563,6415909;-85,94938629
-132,15;560,4585628;-81,81699711
-132,15;563,6415909;-83,47033234
-132,98;560,4585628;-82,64373063
-135,45;562,0488442;-82,64373063
-132,98;565,2368068;-83,47033234
-133,80;565,2368068;-84,29680622
-133,80;563,6415909;-86,77550041
-133,80;557,2853802;-83,47033234
-133,80;558,8707428;-84,29680622
-132,98;558,8707428;-85,12315621
-133,80;560,4585628;-84,29680622
-131,32;558,8707428;-82,64373063
-132,15;565,2368068;-84,29680622
-131,32;562,0488442;-88,42739663
-132,98;560,4585628;-85,12315621
-132,15;563,6415909;-84,29680622
-134,63;560,4585628;-82,64373063
-137,11;560,4585628;-83,47033234
-134,63;555,7024709;-80,16311881
-134,63;560,4585628;-80,99012782
-134,63;560,4585628;-81,81699711
-136,28;560,4585628;-80,16311881
-133,80;558,8707428;-80,16311881
-135,45;560,4585628;-79,33596611
-136,28;560,4585628;-80,99012782
-132,98;558,8707428;-80,16311881
-131,32;566,8344959;-81,81699711
-131,32;565,2368068;-83,47033234
-131,32;566,8344959;-82,64373063
-129,67;562,0488442;-84,29680622
-131,32;563,6415909;-85,12315621
-132,15;562,0488442;-85,94938629
-133,80;557,2853802;-81,81699711
-132,98;560,4585628;-83,47033234
-132,98;562,0488442;-84,29680622
-134,63;566,8344959;-86,77550041
-132,15;566,8344959;-87,60150253
-132,98;571,6424423;-87,60150253
-132,98;568,4346622;-88,42739663
-133,80;565,2368068;-83,47033234
